ID;Departement;Column5;Longitude;Latitude;LonGRD;LatGRD;LonDMS;LatDMS
30438;75;paris;2.34445;48.86;9;54289;22040;485136
31184;77;jouy le chatel;3.13333;48.6667;880;54073;30742;483955
31185;77;lesches;2.78333;48.9;492;54342;24647;485428
31186;77;saint germain sous doue;3.15;48.85;897;54279;30838;485103
31187;77;juilly;2.71667;49.0167;408;54459;24215;490046
31188;77;les chapelles bourbon;2.83333;48.7333;561;54157;25031;484428
31189;77;marcilly;2.88333;49.0333;601;54486;25239;490213
31190;77;guerard;2.96667;48.8167;690;54250;25729;484929
31191;77;bassevelle;3.28333;48.9333;1056;54364;31713;485538
31192;77;champcenest;3.28333;48.6667;1050;54078;31655;484011
31193;77;germigny l eveque;2.95;49;674;54436;25634;485933
31194;77;conches sur gondoire;2.71806;48.8556;424;54284;24305;485120
31195;77;dammartin sur tigeaux;2.93333;48.8167;648;54244;25511;484909
31196;77;montdauphin;3.43333;48.85;1213;54279;32542;485105
31197;77;annet sur marne;2.71667;48.9167;425;54362;24309;485532
31198;77;emerainville;2.61667;48.8167;318;54234;23722;484836
31199;77;aufferville;2.61667;48.2167;303;53572;23633;481254
31200;77;nangis;3;48.55;753;53950;30053;483318
31201;77;chauffry;3.18333;48.8167;943;54243;31106;484906
31202;77;limoges fourches;2.66667;48.6167;366;54031;23956;483740
31203;77;noisy sur ecole;2.5;48.3667;190;53742;23028;482203
31204;77;isles les meldeuses;3.01667;49;744;54444;30023;485958
31205;77;varreddes;2.93333;49;658;54448;25545;490010
31206;77;vendrest;3.1;49.05;841;54496;30538;490247
31207;77;darvault;2.73333;48.2667;442;53635;24404;481616
31208;77;saint leger;3.25;48.8333;1021;54265;31518;485020
31209;77;mary sur marne;3.03333;49.0167;769;54461;30144;490054
31210;77;jaignes;3.05;49;798;54435;30319;485931
31211;77;avon;2.71667;48.4;432;53788;24330;482432
31212;77;carnetin;2.71667;48.9;409;54334;24218;485402
31213;77;aubepierre ozouer le repos;2.88695;48.6314;611;54035;25313;483753
31214;77;la chapelle gauthier;2.9;48.55;625;53944;25357;483259
31215;77;paley;2.85;48.2333;581;53602;25134;481430
